,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Palmas,40,BR,1551891600,94,-10.18,-48.33,25.0,3.1
1,Port Alfred,12,ZA,1551895310,80,-33.59,26.89,27.78,2.68
2,Nemesnadudvar,8,HU,1551895567,59,46.34,19.05,9.02,4.48
3,Batemans Bay,0,AU,1551895527,65,-35.71,150.18,11.67,1.79
4,Mogadishu,56,SO,1551895567,98,2.04,45.34,27.27,9.33
5,Cherskiy,64,RU,1551895466,70,68.75,161.3,-20.91,0.98
6,Khatanga,24,RU,1551895567,69,71.98,102.47,-20.89,3.48
7,Ilulissat,20,GL,1551891000,36,69.22,-51.1,-9.0,1.5
8,Rikitea,64,PF,1551895567,95,-23.12,-134.97,27.52,8.63
9,Atuona,44,PF,1551895457,100,-9.8,-139.03,27.89,7.83
10,Hermanus,0,ZA,1551895285,90,-34.42,19.24,20.0,1.79
11,Ushuaia,75,AR,1551891600,65,-54.81,-68.31,8.0,7.7
12,Vardo,75,US,1551895562,41,39.62,-77.74,-1.67,6.7
13,Hirara,92,JP,1551895568,100,24.8,125.28,19.72,8.88
14,Lafayette,1,US,1551895561,29,30.22,-92.02,11.67,1.5
15,Dikson,48,RU,1551895569,91,73.51,80.55,-14.86,8.48
16,Terney,0,RU,1551895569,87,45.05,136.61,-2.84,3.33
17,Okhotsk,0,RU,1551895569,100,59.36,143.24,-17.09,1.78
18,Pochutla,5,MX,1551895229,55,15.74,-96.47,32.22,3.58
19,Ponta do Sol,8,BR,1551895569,73,-20.63,-46.0,28.47,2.08
20,Alice Springs,0,AU,1551891600,38,-23.7,133.88,23.0,3.1
21,Beringovskiy,80,RU,1551895569,91,63.05,179.32,-3.94,3.08
22,Airai,68,TL,1551895489,89,-8.93,125.41,21.24,0.53
23,Luderitz,44,NA,1551895503,90,-26.65,15.16,16.47,2.78
24,Novo Aripuana,64,BR,1551895570,79,-5.12,-60.38,29.14,1.08
25,Constitucion,90,MX,1551895217,24,23.99,-104.67,22.22,1.93
26,Valdivia,92,CL,1551895570,95,-39.81,-73.25,14.72,7.38
27,Sibolga,56,ID,1551895549,99,1.74,98.78,21.02,0.88
28,Ryotsu,92,JP,1551895571,100,38.08,138.43,8.02,1.63
29,Mahebourg,75,MU,1551895444,78,-20.41,57.7,27.0,4.1
30,Kapaa,75,US,1551895207,82,22.08,-159.32,20.0,9.8
31,Albany,75,US,1551895251,37,42.65,-73.75,-4.44,7.7
32,Tura,48,IN,1551895571,61,25.52,90.21,16.59,1.98
33,Norman Wells,20,CA,1551891600,76,65.28,-126.83,-23.0,2.1
34,Lillooet,90,CA,1551891600,73,50.69,-121.94,-4.0,2.6
35,Chokurdakh,0,RU,1551895192,24,70.62,147.9,-27.14,4.78
36,Ormond Beach,1,US,1551895267,32,29.29,-81.06,15.56,2.6
37,Lorengau,36,PG,1551895175,100,-2.02,147.27,27.14,0.93
38,East London,20,ZA,1551893760,65,-33.02,27.91,28.0,4.6
39,Saint George,20,GR,1551894600,66,39.45,22.34,13.0,1.5
40,Qaanaaq,64,GL,1551895230,77,77.48,-69.36,-18.54,2.23
41,Westonaria,56,ZA,1551895531,53,-26.32,27.65,25.0,1.5
42,Lixourion,20,GR,1551895336,100,38.2,20.43,13.33,1.63
43,Saint-Philippe,1,CA,1551895438,33,45.36,-73.48,-7.22,2.6
44,Busselton,100,AU,1551895214,54,-33.64,115.35,20.56,4.23
45,Sitka,20,US,1551895372,39,37.17,-99.65,8.89,9.39
46,Bhatkal,0,IN,1551895573,100,13.97,74.57,26.52,5.68
47,Narsaq,75,GL,1551891000,29,60.91,-46.05,2.0,13.9
48,Saint-Pierre,92,FR,1551895562,81,48.95,4.24,13.89,6.7
49,Hilo,75,US,1551895279,82,19.71,-155.08,18.89,2.1
50,Praia da Vitoria,75,PT,1551895248,82,38.73,-27.07,17.0,11.73
51,Martapura,100,ID,1551891600,94,-3.41,114.85,25.0,1.0
52,Jasper,0,US,1551895297,28,33.83,-87.28,7.78,1.63
53,Victoria,75,BN,1551893400,94,5.28,115.24,27.0,1.23
54,Cayenne,75,GF,1551893400,66,4.94,-52.33,30.0,6.2
55,Harij,0,IN,1551895575,52,23.69,71.9,18.84,1.28
56,Bredasdorp,0,ZA,1551895285,68,-34.53,20.04,22.0,8.2
57,Ambon,75,FR,1551895522,93,47.55,-2.56,11.11,3.6
58,Batagay-Alyta,80,RU,1551895462,75,67.8,130.41,-22.91,1.33
59,Mar del Plata,24,AR,1551895464,38,-46.43,-67.52,22.57,10.43
60,Chernukha,12,RU,1551895576,77,55.6,43.76,-9.01,6.73
61,Cape Town,40,ZA,1551895275,77,-33.93,18.42,21.67,4.1
62,Dunedin,0,NZ,1551895188,99,-45.87,170.5,13.33,4.43
63,Mataura,0,NZ,1551895207,52,-46.19,168.86,19.44,6.71
64,Mount Isa,0,AU,1551891600,64,-20.73,139.49,22.0,3.18
65,Marsh Harbour,0,BS,1551895516,100,26.54,-77.06,21.82,8.18
66,Dakar,0,SN,1551893400,36,14.69,-17.45,27.0,9.8
67,West Bay,75,GB,1551895571,87,50.71,-2.76,11.0,7.7
68,Hasaki,75,JP,1551894576,100,35.73,140.83,10.56,1.5
69,Zhangye,0,CN,1551895577,77,38.94,100.46,-5.99,2.53
70,Eyl,0,SO,1551895577,95,7.98,49.82,25.02,6.18
71,Castro,75,CL,1551891600,82,-42.48,-73.76,19.0,4.6
72,Samana,75,EC,1551891600,100,0.12,-76.97,28.0,2.1
73,Tasiilaq,75,GL,1551891000,48,65.61,-37.64,-6.0,8.7
74,Shetpe,0,KZ,1551895536,72,44.14,52.16,-0.61,1.18
75,Yellowknife,20,CA,1551895378,84,62.45,-114.38,-16.0,3.1
